,precision,recall,f1-score,support
Approved,0.7138364779874213,0.5360094451003542,0.612272420768712,847.0
Partially Approved / Closed,0.6725105189340813,0.8647430117222723,0.7566074950690336,1109.0
Rejected,0.7272727272727273,0.07272727272727272,0.1322314049586777,110.0
Unknown / Needs Manual Check,0.0,0.0,0.0,7.0
accuracy,0.6854799807042933,0.6854799807042933,0.6854799807042933,0.6854799807042933
macro avg,0.5284049310485575,0.36836993238747484,0.3752778301991058,2073.0
weighted avg,0.6900307102524083,0.6854799807042933,0.6619478567139951,2073.0
